series,days,rs_from,rs_to,n,hit_rate,mean_excess,median_excess,p25_excess,mean_max_rel_dd,mean_min_rel
roc_63_126_252_w211,30,30,70,1162,0.5464716006884681,0.10680925475635179,0.03119568781875831,-0.1261085951387602,-0.19781499347704726,-0.12472430423531174
roc_63_126_252_w211,30,30,80,565,0.5327433628318584,0.12907959255092472,0.031037717152334166,-0.14701381219621304,-0.22000929891036577,-0.14048440936286452
roc_63_126_252_w211,30,30,90,225,0.6133333333333333,0.22551627307674177,0.10878924674876966,-0.13513604821531658,-0.23669115880676259,-0.14166297665386654
roc_63_126_252_w211,30,40,70,1806,0.5365448504983389,0.0917404219403341,0.02369889987962115,-0.11698412947814593,-0.18717936619741082,-0.11720163764799824
roc_63_126_252_w211,30,40,80,839,0.5160905840286055,0.10675738015244339,0.005865541247823458,-0.14098356058240769,-0.209743256433419,-0.13428637329464024
roc_63_126_252_w211,30,40,90,299,0.6053511705685619,0.20157266360268758,0.10036568898779241,-0.13996449394218344,-0.23380185265107797,-0.14005807375272245
roc_63_126_252_w211,40,20,70,927,0.5566343042071198,0.12588265030988632,0.034583185173151954,-0.13330160231456145,-0.20738717080580946,-0.12951446793146934
roc_63_126_252_w211,40,20,80,543,0.5377532228360957,0.13635873019533723,0.032918628818265794,-0.14416187902345684,-0.21989458454476168,-0.13928177293183908
roc_63_126_252_w211,40,20,90,229,0.611353711790393,0.24813020920323706,0.10555332046308685,-0.1770895689361247,-0.2374346412594664,-0.14431320045502957
roc_63_126_252_w211,40,30,70,1525,0.5304918032786885,0.09333749363998942,0.023729602900960933,-0.12810375171119603,-0.19134538901846296,-0.12182802398554032
roc_63_126_252_w211,40,30,80,825,0.5309090909090909,0.11285385359493967,0.027663743755849346,-0.1434441861416043,-0.2066219418570972,-0.13065590339759434
roc_63_126_252_w211,40,30,90,336,0.6190476190476191,0.21141808451514793,0.10288125273515214,-0.1281574981388396,-0.22652738290335242,-0.13419908792570567
roc_63_126_252_w211,40,40,70,2220,0.5148648648648648,0.07471315820237918,0.009402088405163378,-0.1254569121045991,-0.18398022406097161,-0.11687443477724095
roc_63_126_252_w211,40,40,80,1155,0.5203463203463203,0.09853961245112339,0.012497191751948522,-0.1371391194273236,-0.20071267367657378,-0.12718030525921106
roc_63_126_252_w211,40,40,90,428,0.6214953271028038,0.19470311658426034,0.09816251928137376,-0.10676603767807252,-0.22337980332394256,-0.12920727772502802
roc_20_50_100_w111,10,20,70,612,0.5604575163398693,0.14477708019033786,0.04347260423979593,-0.14370476199134385,-0.2330313177278135,-0.1464267065468786
roc_20_50_100_w111,10,20,80,305,0.5540983606557377,0.19373472003270417,0.04910383545626151,-0.15130080721398392,-0.25203320585494876,-0.15374535847666132
roc_20_50_100_w111,10,20,90,123,0.5691056910569106,0.19987500435808755,0.06293364076803698,-0.17482473538242033,-0.2838660691196566,-0.1621485777332337
roc_20_50_100_w111,10,30,70,1219,0.5151763740771124,0.09914495251585137,0.017372375517491045,-0.14100269230805695,-0.21563426211468906,-0.14189766876489404
roc_20_50_100_w111,10,30,80,561,0.5401069518716578,0.1449878298889617,0.0390766099795381,-0.1508343755564262,-0.23883740837665168,-0.15048603063112873
